# SAXS profile: number of points = 355, q_min = 0.0332286, q_max = 0.386938, delta_q = 0.000999179096045198
# offset = 0.00000000000000, scaling c = 3.82367662468004e-06, Chi = 3.88399746533328
#  q       exp_intensity   model_intensity
0.10017    4.71226000      4.80469074     
0.10117    4.66239000      4.72701323     
0.10217    4.58259000      4.65017852     
0.10317    4.49247000      4.57418491     
0.10417    4.40899000      4.49904761     
0.10517    4.37149000      4.42470165     
0.10617    4.26384000      4.35128070     
0.10717    4.15759000      4.27874001     
0.10817    4.07340000      4.20706803     
0.10917    3.99405000      4.13627417     
0.11016    4.02271000      4.06635984     
0.11116    3.97416000      3.99725871     
0.11216    3.87559000      3.92910992     
0.11316    3.78380000      3.86184395     
0.11416    3.72587000      3.79546704     
0.11516    3.67071000      3.72997466     
0.11616    3.53691000      3.66530343     
0.11716    3.49497000      3.60158137     
0.11816    3.42984000      3.53873216     
0.11916    3.39400000      3.47676286     
0.12016    3.35320000      3.41567020     
0.12116    3.28542000      3.35546179     
0.12216    3.24656000      3.29605894     
0.12316    3.21749000      3.23758363     
0.12415    3.14171000      3.17996884     
0.12515    3.05334000      3.12321165     
0.12615    2.98612000      3.06731714     
0.12715    2.96119000      3.01221286     
0.12815    2.93259000      2.95800714     
0.12915    2.91258000      2.90464350     
0.13015    2.85219000      2.85211074     
0.13115    2.81976000      2.80040141     
0.13215    2.74355000      2.74951643     
0.13315    2.67143000      2.69940047     
0.13415    2.66355000      2.65013947     
0.13514    2.64913000      2.60168086     
0.13614    2.59590000      2.55401630     
0.13714    2.56429000      2.50714113     
0.13814    2.53068000      2.46104321     
0.13914    2.47189000      2.41567802     
0.14014    2.46582000      2.37112538     
0.14114    2.38794000      2.32733224     
0.14214    2.35618000      2.28428839     
0.14314    2.28209000      2.24199139     
0.14414    2.23159000      2.20038209     
0.14514    2.18375000      2.15955283     
0.14614    2.15903000      2.11944303     
0.14713    2.18471000      2.08005006     
0.14813    2.11683000      2.04135409     
0.14913    2.08463000      2.00335817     
0.15013    2.05769000      1.96601892     
0.15113    2.00937000      1.92939710     
0.15213    1.97450000      1.89345621     
0.15313    1.97359000      1.85817954     
0.15413    1.94452000      1.82355423     
0.15513    1.90883000      1.78955212     
0.15613    1.85524000      1.75622267     
0.15713    1.76615000      1.72353732     
