solution index | solution filename | fit rotation | fit translation  | match size | match average distance |  envelope penetration score | fitting score|dock rotation | dock translation | RMSD to reference
9695||0.471671 -0.026168 0.499315 -0.72631|259.798 357.24 378.914|0|-1|-1|0.0465273|1 0 0 0|2.51327 1.0472 5.75959|-1
9696||0.0669873 -0.25 0.933013 0.25|281.303 206.165 200.331|0|-1|-1|0.046527|1 0 0 0|0 2.61799 3.66519|-1
9697||0.25 0.933013 -0.25 0.0669873|100.529 316.722 188.042|0|-1|-1|0.046527|1 0 0 0|3.14159 2.61799 2.61799|-1
9698||0.25 -0.933013 -0.25 -0.0669873|128.697 186.027 177.571|0|-1|-1|0.0465229|1 0 0 0|0 2.61799 0.523599|-1
9699||0.489074 0.579484 0.643582 -0.103956|219.822 55.0222 262.572|0|-1|-1|0.0465211|1 0 0 0|2.51327 2.0944 4.18879|-1
9700||0.12941 0.965926 5.26836e-09 0.224144|147.543 267.231 137.049|0|-1|-1|0.0465211|1 0 0 0|2.0944 2.61799 2.0944|-1
9701||0.12941 0.965926 1.05367e-08 -0.224144|78.3385 206.686 224.936|0|-1|-1|0.0465204|1 0 0 0|4.18879 2.61799 4.18879|-1
9702||0.509037 0.293893 -0.404508 -0.700629|169.931 372.446 241.567|0|-1|-1|0.046519|1 0 0 0|5.02655 1.0472 3.14159|-1
9703||0.965926 -0.12941 0.224144 0|127.543 87.7686 342.951|0|-1|-1|0.0465113|1 0 0 0|1.0472 0.523599 5.23599|-1
9704||1.02021e-08 -0.353553 -0.612372 -0.707107|309.764 240.064 85.6823|0|-1|-1|0.0465107|1 0 0 0|0.523599 1.5708 2.61799|-1
9705||0.183013 -0.183013 -0.683013 -0.683013|269.471 194.692 10.6823|0|-1|-1|0.0465105|1 0 0 0|0 1.5708 2.61799|-1
9706||0.226995 0.771634 -0.393167 0.445503|199.024 312.818 61.0169|0|-1|-1|0.046507|1 0 0 0|2.51327 2.0944 1.5708|-1
9707||0.855363 -0.0782172 -0.493844 -0.135476|162.486 196.688 143.209|0|-1|-1|0.0464998|1 0 0 0|5.02655 1.0472 1.5708|-1
9708||1.58051e-08 5.26836e-09 -0.965926 0.258819|312.077 114.375 169.867|0|-1|-1|0.0464989|1 0 0 0|3.14159 2.61799 0|-1
9709||0.258819 -0.965926 5.26836e-09 -1.39388e-08|102.923 300.625 279.867|0|-1|-1|0.0464987|1 0 0 0|0 2.61799 0|-1
9710||0.707107 0.353553 -0.612372 1.11759e-08|272.571 173.973 63.6969|0|-1|-1|0.0464984|1 0 0 0|4.18879 1.5708 2.0944|-1
9711||0.353553 1.14821e-08 -0.707107 -0.612372|307.572 232.035 20.6823|0|-1|-1|0.0464947|1 0 0 0|5.75959 1.5708 2.61799|-1
9712||0.183013 0.25 -0.933013 -0.183013|253.074 201.557 143.042|0|-1|-1|0.0464934|1 0 0 0|5.23599 2.61799 2.61799|-1
9713||0.683013 -0.183013 0.683013 0.183013|311.965 176.567 372.077|0|-1|-1|0.0464909|1 0 0 0|1.0472 1.5708 4.71239|-1
9714||0.509037 0.293893 -0.404508 -0.700629|229.931 317.446 191.567|0|-1|-1|0.0464874|1 0 0 0|5.02655 1.0472 3.14159|-1
9715||0.965926 0.12941 0.224144 0|131.888 134.718 242.035|0|-1|-1|0.0464815|1 0 0 0|2.0944 0.523599 4.18879|-1
9716||0.25 0.25 0.0669873 -0.933013|288.242 364.175 288.338|0|-1|-1|0.0464788|1 0 0 0|4.18879 0.523599 4.71239|-1
9717||0.419335 -0.864839 -0.0453243 0.27232|36.8435 262.493 361.722|0|-1|-1|0.0464764|1 0 0 0|5.65487 2.0944 5.75959|-1
9718||5.26836e-09 -0.224144 -0.12941 -0.965926|291.007 340.828 159.148|0|-1|-1|0.0464718|1 0 0 0|1.0472 0.523599 2.0944|-1
9719||1.29048e-08 1.29048e-08 -1 -1.49012e-08|257.077 160.668 160.308|0|-1|-1|0.0464708|1 0 0 0|0 3.14159 3.14159|-1
9720||0.5 -0.183013 -0.683013 -0.5|133.973 292.429 48.6969|0|-1|-1|0.0464682|1 0 0 0|5.75959 1.5708 2.0944|-1
9721||0.12941 -0.482963 -0.836516 -0.224144|240.259 157.899 102.049|0|-1|-1|0.0464645|1 0 0 0|0 2.61799 2.0944|-1
9722||0.183013 -0.683013 -0.183013 -0.683013|255.133 245.625 77.9229|0|-1|-1|0.0464637|1 0 0 0|1.0472 1.5708 1.5708|-1
9723||0.353553 0.353553 0.612372 0.612372|268.338 153.209 70.6677|0|-1|-1|0.0464633|1 0 0 0|1.0472 1.5708 3.14159|-1
9724||0.5 -0.183013 0.683013 -0.5|252.035 242.572 299.318|0|-1|-1|0.0464631|1 0 0 0|2.0944 1.5708 5.75959|-1
9725||0.267617 -0.154508 -0.475528 0.823639|281.432 157.371 295.625|0|-1|-1|0.0464627|1 0 0 0|3.76991 1.0472 0|-1
9726||0.353553 1.20713e-08 -0.707107 -0.612372|207.572 207.035 55.6823|0|-1|-1|0.0464612|1 0 0 0|5.75959 1.5708 2.61799|-1
9727||0.864839 -0.419335 0.27232 -0.0453243|179.527 195.611 398.914|0|-1|-1|0.0464601|1 0 0 0|0.628319 1.0472 5.75959|-1
9728||0.224144 -0.836516 0.482963 0.12941|249.741 289.294 275.852|0|-1|-1|0.046459|1 0 0 0|0 2.61799 5.23599|-1
9729||0.5 -0.5 -0.5 0.5|175.308 37.9229 309.332|0|-1|-1|0.0464582|1 0 0 0|4.71239 1.5708 0|-1
9730||0.388573 0.310356 0.808504 0.31466|244.226 140.838 183.973|0|-1|-1|0.0464575|1 0 0 0|1.25664 2.0944 3.66519|-1
9731||0.310356 0.388573 0.31466 0.808504|236.485 192.751 123.278|0|-1|-1|0.0464566|1 0 0 0|1.25664 1.0472 2.61799|-1
9732||0.12941 0.482963 -0.836516 -0.224144|371.888 267.42 108.035|0|-1|-1|0.0464542|1 0 0 0|5.23599 2.61799 3.14159|-1
9733||0.683013 0.183013 0.683013 0.183013|164.692 105.682 254.471|0|-1|-1|0.0464535|1 0 0 0|1.5708 1.5708 4.18879|-1
9734||0.353553 0.612372 0.353553 0.612372|294.692 130.529 10.6823|0|-1|-1|0.0464515|1 0 0 0|1.5708 1.5708 2.61799|-1
9735||0.25 0.933013 0.25 -0.0669873|43.6969 218.835 270.331|0|-1|-1|0.0464478|1 0 0 0|3.14159 2.61799 3.66519|-1
9736||0.482963 0.12941 -0.224144 -0.836516|284.14 331.95 200.133|0|-1|-1|0.0464472|1 0 0 0|5.23599 0.523599 3.14159|-1
9737||0.183013 0.933013 -0.25 -0.183013|141.754 336.365 205.331|0|-1|-1|0.0464431|1 0 0 0|4.18879 2.61799 3.66519|-1
9738||0.180057 0.371572 0.334565 -0.847101|179.912 305.797 369.294|0|-1|-1|0.0464417|1 0 0 0|3.76991 1.0472 5.23599|-1
9739||0.433013 0.75 0.433013 -0.25|70.6823 177.965 237.572|0|-1|-1|0.0464404|1 0 0 0|3.14159 2.0944 4.18879|-1
9740||0.836516 -0.224144 0.12941 -0.482963|128.112 287.42 236.965|0|-1|-1|0.0464351|1 0 0 0|1.0472 0.523599 0|-1
9741||0.258819 1.29048e-08 7.45058e-09 0.965926|356.303 284.741 204.692|0|-1|-1|0.0464344|1 0 0 0|0 0 3.66519|-1
9742||0.183013 -0.683013 0.683013 0.183013|284.332 303.983 236.239|0|-1|-1|0.0464313|1 0 0 0|0 2.61799 4.71239|-1
9743||4.165e-09 0.353553 0.612372 -0.707107|167.572 182.965 344.318|0|-1|-1|0.0464311|1 0 0 0|2.61799 1.5708 0.523599|-1
9744||0.12941 -0.224144 0.836516 0.482963|416.303 187.429 118.973|0|-1|-1|0.0464309|1 0 0 0|0 2.0944 3.66519|-1
9745||0.823639 0.475528 0.154508 0.267617|122.546 108.077 241.567|0|-1|-1|0.0464308|1 0 0 0|2.51327 1.0472 3.14159|-1
9746||0.12941 -0.482963 -0.836516 0.224144|264.14 83.0504 234.867|0|-1|-1|0.046428|1 0 0 0|4.18879 2.61799 0|-1
9747||0.154508 0.267617 -0.823639 -0.475528|251.432 252.629 144.375|0|-1|-1|0.0464272|1 0 0 0|5.65487 2.0944 3.14159|-1
9748||0.933013 0.25 0.0669873 -0.25|23.6969 188.973 202.429|0|-1|-1|0.0464226|1 0 0 0|3.14159 0.523599 3.66519|-1
9749||0.683013 0.5 -0.5 0.183013|203.835 255.331 13.6969|0|-1|-1|0.046422|1 0 0 0|3.66519 1.5708 2.0944|-1
9750||0.612372 0.612372 0.353553 -0.353553|140.682 155.308 229.471|0|-1|-1|0.0464139|1 0 0 0|3.14159 1.5708 4.18879|-1
9751||0.183013 0.183013 -0.683013 -0.683013|336.791 243.338 90.6677|0|-1|-1|0.0464087|1 0 0 0|5.75959 1.5708 3.14159|-1
9752||7.45058e-09 -1.666e-08 7.45058e-09 -1|417.077 254.332 239.692|0|-1|-1|0.0464085|1 0 0 0|0 0 3.14159|-1
9753||0.847101 -0.334565 0.371572 0.180057|135.088 184.203 364.294|0|-1|-1|0.0463991|1 0 0 0|0.628319 1.0472 5.23599|-1
9754||0.482963 -0.836516 -0.224144 -0.12941|63.6969 214.669 193.835|0|-1|-1|0.046399|1 0 0 0|0 2.0944 0.523599|-1
9755||0.224144 -1.49012e-08 0.965926 -0.12941|371.007 189.172 250.852|0|-1|-1|0.0463981|1 0 0 0|2.0944 2.61799 5.23599|-1
